ID,従業員NO,"従業員名",マネージャID,"入社日",sal,deptId,versionNo
1,7369,"SMITH",13,"1980/12/17",800.00,76,1
2,,"ALLEN",6,"1981/02/20",1600.00,76,1
3,7521,,6,"1981/02/22",1250.00,3,1
4,7566,"JONES",9,,2975.00,76,1
5,,,6,"1981/09/28",1250.00,76,1
6,7698,"BLAKE",9,"aaa/05/01",2850.00,76,1
7,7782,"CLARK",9,"1981/06/09",2450.00,76,1
8,7788,"SCOTT",4,"1982/12/09",3000.00,78,1
9,7839,"KING",,"1981/11/17",abc,76,1
10,7844,"TURNER",6,,1500.00,75,1
11,7876,"ADAMS",8,"1983/01/12",1100.00,76,1
12,7900,"JAMES",6,"1981/12/03",950.00,76,1
13,7902,"FORD",4,"1981/12/03",3000.00,20,1
14,7934,"MILLER",7,"1982/01/23",1300.00,76,1
